teff_2,logg_2,feh_2,alpha,npix,rv,gamma,chi2,arbnorm
4100,5.0,0.0,0.1359,972,97.0,0.5,12675.1105,1.0
4100,5.0,0.0,0.1359,972,97.0,0.75,12813.4324,1.0
4100,5.0,0.0,0.1359,972,97.5,-1.0,13065.4513,1.0
4100,5.0,0.0,0.1359,972,97.5,-0.75,12847.098,1.0
4100,5.0,0.0,0.1359,972,97.5,-0.5,12671.8117,1.0
4100,5.0,0.0,0.1359,972,97.5,-0.25,12579.3562,1.0
4100,5.0,0.0,0.1359,972,97.5,0.0,12585.3686,1.0
4100,5.0,0.0,0.1359,972,97.5,0.25,12600.196,1.0
4100,5.0,0.0,0.1359,972,97.5,0.5,12654.9954,1.0
4100,5.0,0.0,0.1359,972,97.5,0.75,12831.4415,1.0
4100,5.0,0.0,0.1359,972,98.0,-1.0,13023.8229,1.0
4100,5.0,0.0,0.1359,972,98.0,-0.75,12852.8657,1.0
4100,5.0,0.0,0.1359,972,98.0,-0.5,12680.712,1.0
4100,5.0,0.0,0.1359,972,98.0,-0.25,12574.4146,1.0
4100,5.0,0.0,0.1359,972,98.0,0.0,12588.5223,1.0
4100,5.0,0.0,0.1359,972,98.0,0.25,12589.3081,1.0
4100,5.0,0.0,0.1359,972,98.0,0.5,12725.9843,1.0
4100,5.0,0.0,0.1359,972,98.0,0.75,12876.5746,1.0
4100,5.0,0.0,0.1359,972,98.5,-1.0,12993.2059,1.0
4100,5.0,0.0,0.1359,972,98.5,-0.75,12844.937,1.0
4100,5.0,0.0,0.1359,972,98.5,-0.5,12690.528,1.0
4100,5.0,0.0,0.1359,972,98.5,-0.25,12595.2025,1.0
4100,5.0,0.0,0.1359,972,98.5,0.0,12586.6877,1.0
4100,5.0,0.0,0.1359,972,98.5,0.25,12620.2926,1.0
4100,5.0,0.0,0.1359,972,98.5,0.5,12730.3692,1.0
4100,5.0,0.0,0.1359,972,98.5,0.75,12913.2588,1.0
4100,5.0,0.0,0.1359,972,99.0,-1.0,13028.5138,1.0
4100,5.0,0.0,0.1359,972,99.0,-0.75,12843.9666,1.0
4100,5.0,0.0,0.1359,972,99.0,-0.5,12709.0969,1.0
4100,5.0,0.0,0.1359,972,99.0,-0.25,12611.7447,1.0
4100,5.0,0.0,0.1359,972,99.0,0.0,12582.0792,1.0
4100,5.0,0.0,0.1359,972,99.0,0.25,12623.2602,1.0
4100,5.0,0.0,0.1359,972,99.0,0.5,12746.2162,1.0
4100,5.0,0.0,0.1359,972,99.0,0.75,12939.9612,1.0
4100,5.0,0.0,0.1359,972,99.5,-1.0,13056.7822,1.0
4100,5.0,0.0,0.1359,972,99.5,-0.75,12859.5777,1.0
4100,5.0,0.0,0.1359,972,99.5,-0.5,12697.3319,1.0
4100,5.0,0.0,0.1359,972,99.5,-0.25,12631.713,1.0
4100,5.0,0.0,0.1359,972,99.5,0.0,12605.8533,1.0
4100,5.0,0.0,0.1359,972,99.5,0.25,12636.8208,1.0
4100,5.0,0.0,0.1359,972,99.5,0.5,12800.0064,1.0
4100,5.0,0.0,0.1359,972,99.5,0.75,12946.1205,1.0
4100,5.0,0.0,0.1359,972,100.0,-1.0,13108.5067,1.0
4100,5.0,0.0,0.1359,972,100.0,-0.75,12894.1381,1.0
4100,5.0,0.0,0.1359,972,100.0,-0.5,12705.5763,1.0
4100,5.0,0.0,0.1359,972,100.0,-0.25,12623.498,1.0
4100,5.0,0.0,0.1359,972,100.0,0.0,12587.6743,1.0
4100,5.0,0.0,0.1359,972,100.0,0.25,12668.169,1.0
4100,5.0,0.0,0.1359,972,100.0,0.5,12837.1495,1.0
4100,5.0,0.0,0.1359,972,100.0,0.75,12967.5519,1.0
4100,5.0,0.0,0.1359,972,100.5,-1.0,13103.8732,1.0
4100,5.0,0.0,0.1359,972,100.5,-0.75,12914.8429,1.0
4100,5.0,0.0,0.1359,972,100.5,-0.5,12698.3993,1.0
4100,5.0,0.0,0.1359,972,100.5,-0.25,12619.274,1.0
4100,5.0,0.0,0.1359,972,100.5,0.0,12597.7328,1.0
4100,5.0,0.0,0.1359,972,100.5,0.25,12670.3581,1.0
4100,5.0,0.0,0.1359,972,100.5,0.5,12843.1034,1.0
4100,5.0,0.0,0.1359,972,100.5,0.75,12962.2011,1.0
4100,5.0,0.0,0.1359,972,101.0,-1.0,13116.2206,1.0
4100,5.0,0.0,0.1359,972,101.0,-0.75,12931.9642,1.0
4100,5.0,0.0,0.1359,972,101.0,-0.5,12684.9234,1.0
